0.000000,0.070000,0.000000,-0.070000,-nan,-nan,0.000000,0.140000,0.070000,-nan,nan
0.000000,0.070000,0.000000,-0.070000,-0.029263,0.000770,0.000000,0.140000,0.070000,0.000770,0.005500
0.000000,0.070000,0.000000,-0.070000,-0.003980,0.000553,0.000000,0.140000,0.070000,0.000553,0.003952
0.000000,0.070000,0.000000,-0.070000,-0.008417,-0.000193,0.000000,0.140000,0.070000,-0.000193,-0.001376
0.000000,0.070000,0.000000,-0.070000,-0.010437,-0.000218,0.000000,0.140000,0.070000,-0.000218,-0.001558
0.000000,0.070000,0.000000,-0.070000,-0.011874,-0.000200,0.000000,0.140000,0.070000,-0.000200,-0.001429
0.000000,0.070000,0.000000,-0.070000,-0.013099,-0.000197,0.000000,0.140000,0.070000,-0.000197,-0.001405
0.000000,0.070000,0.000000,-0.070000,-0.013393,-0.000285,0.000000,0.140000,0.070000,-0.000285,-0.002035
0.000000,0.070000,0.000000,-0.070000,-0.011973,-0.000318,0.000000,0.140000,0.070000,-0.000318,-0.002270
0.000000,0.070000,0.000000,-0.070000,-0.010605,-0.000333,0.000000,0.140000,0.070000,-0.000333,-0.002375
0.000000,0.070000,0.000000,-0.070000,-0.010043,-0.000368,0.000000,0.140000,0.070000,-0.000368,-0.002630
0.000000,0.070000,0.000000,-0.070000,-0.009764,-0.000395,0.000000,0.140000,0.070000,-0.000395,-0.002821
0.000000,0.070000,0.000000,-0.070000,-0.009543,-0.000421,0.000000,0.140000,0.070000,-0.000421,-0.003005
0.000000,0.070000,0.000000,-0.070000,-0.009332,-0.000445,0.000000,0.140000,0.070000,-0.000445,-0.003176
0.000000,0.070000,0.000000,-0.070000,-0.009132,-0.000468,0.000000,0.140000,0.070000,-0.000468,-0.003340
0.000000,0.070000,0.000000,-0.070000,-0.008950,-0.000490,0.000000,0.140000,0.070000,-0.000490,-0.003499
0.000000,0.070000,0.000000,-0.070000,-0.008786,-0.000511,0.000000,0.140000,0.070000,-0.000511,-0.003653
0.000000,0.070000,0.000000,-0.070000,-0.008641,-0.000533,0.000000,0.140000,0.070000,-0.000533,-0.003810
0.000000,0.070000,0.000000,-0.070000,-0.008532,-0.000559,0.000000,0.140000,0.070000,-0.000559,-0.003992
0.000000,0.070000,0.000000,-0.070000,-0.008451,-0.000572,0.000000,0.140000,0.070000,-0.000572,-0.004085
0.000000,0.070000,0.000000,-0.070000,-0.008348,-0.000588,0.000000,0.140000,0.070000,-0.000588,-0.004198
0.000000,0.070000,0.000000,-0.070000,-0.008206,-0.000014,0.000000,0.140000,0.070000,-0.000014,-0.000103
0.000000,0.070000,0.000000,-0.070000,-0.008018,0.000068,0.000000,0.140000,0.070000,0.000068,0.000486
0.000000,0.070000,0.000000,-0.070000,-0.007787,0.000108,0.000000,0.140000,0.070000,0.000108,0.000772
0.000000,0.070000,0.000000,-0.070000,-0.007516,0.000125,0.000000,0.140000,0.070000,0.000125,0.000893
0.000000,0.070000,0.000000,-0.070000,-0.007206,0.000115,0.000000,0.140000,0.070000,0.000115,0.000824
0.000000,0.070000,0.000000,-0.070000,-0.006863,0.000087,0.000000,0.140000,0.070000,0.000087,0.000623
0.000000,0.070000,0.000000,-0.070000,-0.006490,0.000060,0.000000,0.140000,0.070000,0.000060,0.000429
0.000000,0.070000,0.000000,-0.070000,-0.006093,0.000027,0.000000,0.140000,0.070000,0.000027,0.000194
0.000000,0.070000,0.000000,-0.070000,-0.005676,0.000003,0.000000,0.140000,0.070000,0.000003,0.000024
0.000000,0.070000,0.000000,-0.070000,-0.005244,-0.000024,0.000000,0.140000,0.070000,-0.000024,-0.000174
0.000000,0.070000,0.000000,-0.070000,-0.004798,-0.000045,0.000000,0.140000,0.070000,-0.000045,-0.000322
0.000000,0.070000,0.000000,-0.070000,-0.004341,-0.000066,0.000000,0.140000,0.070000,-0.000066,-0.000469
0.000000,0.070000,0.000000,-0.070000,-0.003875,-0.000082,0.000000,0.140000,0.070000,-0.000082,-0.000584
0.000000,0.070000,0.000000,-0.070000,-0.003404,-0.000097,0.000000,0.140000,0.070000,-0.000097,-0.000693
0.000000,0.070000,0.000000,-0.070000,-0.002927,-0.000110,0.000000,0.140000,0.070000,-0.000110,-0.000785
0.000000,0.070000,0.000000,-0.070000,-0.002447,-0.000122,0.000000,0.140000,0.070000,-0.000122,-0.000871
0.000000,0.070000,0.000000,-0.070000,-0.001965,-0.000133,0.000000,0.140000,0.070000,-0.000133,-0.000947
0.000000,0.070000,0.000000,-0.070000,-0.001482,-0.000142,0.000000,0.140000,0.070000,-0.000142,-0.001018
0.000000,0.070000,0.000000,-0.070000,-0.000998,-0.000152,0.000000,0.140000,0.070000,-0.000152,-0.001082
0.000000,0.070000,0.000000,-0.070000,-0.000514,-0.000160,0.000000,0.140000,0.070000,-0.000160,-0.001142
0.000000,0.070000,0.000000,-0.070000,-0.000031,-0.000168,0.000000,0.140000,0.070000,-0.000168,-0.001198
0.000000,0.070000,0.000000,-0.070000,0.000452,-0.000175,0.000000,0.140000,0.070000,-0.000175,-0.001251
0.000000,0.070000,0.000000,-0.070000,0.000935,-0.000182,0.000000,0.140000,0.070000,-0.000182,-0.001301
0.000000,0.070000,0.000000,-0.070000,0.001417,-0.000189,0.000000,0.140000,0.070000,-0.000189,-0.001347
0.000000,0.070000,0.000000,-0.070000,0.001898,-0.000195,0.000000,0.140000,0.070000,-0.000195,-0.001392
0.000000,0.070000,0.000000,-0.070000,0.002380,-0.000201,0.000000,0.140000,0.070000,-0.000201,-0.001433
0.000000,0.070000,0.000000,-0.070000,0.002860,-0.000206,0.000000,0.140000,0.070000,-0.000206,-0.001473
0.000000,0.070000,0.000000,-0.070000,0.003341,-0.000211,0.000000,0.140000,0.070000,-0.000211,-0.001510
0.000000,0.070000,0.000000,-0.070000,0.003821,-0.000216,0.000000,0.140000,0.070000,-0.000216,-0.001545
0.000000,0.070000,0.000000,-0.070000,0.004302,-0.000221,0.000000,0.140000,0.070000,-0.000221,-0.001579
0.000000,0.070000,0.000000,-0.070000,0.004782,-0.000225,0.000000,0.140000,0.070000,-0.000225,-0.001610
0.000000,0.070000,0.000000,-0.070000,0.005262,-0.000230,0.000000,0.140000,0.070000,-0.000230,-0.001640
0.000000,0.070000,0.000000,-0.070000,0.005742,-0.000233,0.000000,0.140000,0.070000,-0.000233,-0.001667
0.000000,0.070000,0.000000,-0.070000,0.006221,-0.000237,0.000000,0.140000,0.070000,-0.000237,-0.001691
0.000000,0.070000,0.000000,-0.070000,0.006700,-0.000240,0.000000,0.140000,0.070000,-0.000240,-0.001714
0.000000,0.070000,0.000000,-0.070000,0.007179,-0.000243,0.000000,0.140000,0.070000,-0.000243,-0.001735
0.000000,0.070000,0.000000,-0.070000,0.007658,-0.000246,0.000000,0.140000,0.070000,-0.000246,-0.001754
