-3.314600,1.134103,99.357338,0.033824,-1.266941,-0.069274,-3.522672,-1.190597,101.172663,0.113613,-1.312039,0.095201
-3.266900,1.135417,99.333111,0.033723,-1.261916,-0.070447,-3.492463,-1.188588,101.160304,0.113650,-1.309369,0.096208
-3.229499,1.134738,99.312904,0.033609,-1.257535,-0.071687,-3.464233,-1.186998,101.150678,0.113714,-1.306712,0.097156
-3.191080,1.136200,99.296119,0.033477,-1.252418,-0.072937,-3.438792,-1.185598,101.143331,0.113800,-1.304049,0.098040
-3.156621,1.136621,99.280208,0.033337,-1.247107,-0.074206,-3.414983,-1.184545,101.137330,0.113907,-1.301385,0.098889
-3.124688,1.137400,99.266463,0.033204,-1.241191,-0.075449,-3.393723,-1.183872,101.133713,0.114042,-1.298698,0.099746
-3.093157,1.138420,99.253143,0.033079,-1.234715,-0.076679,-3.374392,-1.183634,101.129971,0.114195,-1.296020,0.100580
-3.062586,1.139491,99.239002,0.032962,-1.227671,-0.077880,-3.357614,-1.183746,101.127295,0.114356,-1.293316,0.101409
-3.032983,1.140548,99.224139,0.032850,-1.220090,-0.078997,-3.342390,-1.184279,101.125163,0.114493,-1.290564,0.102282
-3.004276,1.141669,99.208649,0.032742,-1.212035,-0.079980,-3.330050,-1.186401,101.125083,0.114485,-1.287857,0.103279
-2.976572,1.142914,99.192488,0.032639,-1.203528,-0.080789,-3.317611,-1.189816,101.122259,0.114314,-1.284923,0.104426
-2.949902,1.144260,99.176507,0.032544,-1.194619,-0.081426,-3.314759,-1.188656,101.129977,0.114424,-1.282617,0.105768
-2.924344,1.145644,99.159447,0.032448,-1.185336,-0.081847,-3.302667,-1.193152,101.120875,0.114112,-1.278887,0.107247
-2.900008,1.147297,99.143830,0.032360,-1.175698,-0.082100,-3.308327,-1.184131,101.137396,0.114819,-1.277211,0.108998
-2.876761,1.148880,99.126441,0.032266,-1.165688,-0.082153,-3.306213,-1.188887,101.132794,0.114652,-1.272079,0.110830
-2.853836,1.151151,99.109190,0.032174,-1.155300,-0.082073,-3.297880,-1.185356,101.128811,0.115089,-1.269088,0.112843
-2.831948,1.153555,99.092821,0.032094,-1.144579,-0.081945,-3.308856,-1.183030,101.136694,0.115515,-1.265996,0.114913
-2.812096,1.155991,99.075833,0.032007,-1.133494,-0.081929,-3.364571,-1.181361,101.171801,0.115916,-1.261841,0.116651
-2.798326,1.158803,99.057860,0.031907,-1.121896,-0.081917,-3.423835,-1.180841,101.209331,0.116271,-1.256529,0.118434
-2.809672,1.161964,99.058445,0.031850,-1.109638,-0.082062,-3.435158,-1.180860,101.201855,0.116605,-1.248543,0.120311
-2.832507,1.163772,99.065033,0.031810,-1.096982,-0.082644,-3.444810,-1.181756,101.209544,0.116922,-1.238648,0.121739
-2.865399,1.166266,99.071972,0.031755,-1.083185,-0.083496,-3.440033,-1.183708,101.204199,0.117203,-1.226957,0.123138
-2.892936,1.168846,99.072248,0.031702,-1.068403,-0.084666,-3.429712,-1.185986,101.197904,0.117439,-1.213757,0.124217
-2.913627,1.170889,99.066686,0.031649,-1.052652,-0.086146,-3.416433,-1.188588,101.191837,0.117635,-1.199204,0.124969
